sample_name,Target,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank
FIG2A_PE2_HEK4_9,4.975456533,0.614427,0.689545,0.696877,0.660459,0.56618,0.241969,0.0456406,0.0550469,0,0,54.311,,0,0,0.461538462,13,0.777777778,9,1,0,0,2,11
FIG2A_PE2_RNF2_10,1.2753784,0,0.424938,0.144476,0.223456,0.187914,0.196604,0.0269369,0.41184,0.465078,0.468474,52.23,,0,0,0.454545455,11,0.3,10,1,0,0,1,10
FIG2A_PE2_RNF2_11,1.606918333,0,0.431299,0.140006,0.215935,0.179611,0.187276,0.0252381,0.432072,0.48551,0.488204,52.23,,0,0,0.454545455,11,0.272727273,11,1,0,0,1,10
FIG2A_PE2_RNF2_12,1.8959347,0,0.437614,0.136019,0.209254,0.172214,0.17902,0.0237621,0.450822,0.504389,0.506339,52.23,,0,0,0.454545455,11,0.333333333,12,1,0,0,1,10
FIG2A_PE2_RNF2_13,2.130170367,0,0.44328,0.132384,0.203193,0.165551,0.171626,0.022446,0.46717,0.52069,0.521829,52.23,,0,0,0.454545455,11,0.307692308,13,1,0,0,1,10
FIG2A_PE2_RNF2_14,2.1031085,0,0.448634,0.129082,0.197709,0.159532,0.164981,0.0212701,0.482009,0.535415,0.535738,52.23,,0,0,0.454545455,11,0.285714286,14,1,0,0,1,10
FIG2A_PE2_RNF2_15,3.63008,0,0.453619,0.126062,0.192711,0.154063,0.158972,0.0202076,0.495397,0.548628,0.548137,52.23,,0,0,0.454545455,11,0.333333333,15,1,0,0,1,10
FIG2A_PE2_RNF2_16,3.022388333,0,0.458159,0.123278,0.188122,0.149069,0.153509,0.0202085,0.50733,0.56032,0.559026,52.23,,0,0,0.454545455,11,0.3125,16,1,0,0,1,10
FIG2A_PE2_RNF2_17,2.146367733,0,0.462009,0.120676,0.183852,0.144479,0.148508,0.0202085,0.517454,0.570103,0.568017,52.23,,0,0,0.454545455,11,0.352941176,17,1,0,0,1,10
FIG2A_PE2_RNF2_9,0.738473833,0,0.418024,0.149455,0.231882,0.197262,0.207182,0.0288854,0.388736,0.441517,0.44545,52.23,,0,0,0.454545455,11,0.333333333,9,1,0,0,1,10
FIG2B_EMX1_10,4.979897767,0.634561,0.664075,0.546808,0.421013,0.355693,0.475654,0.602966,0.742512,0.784665,0.81416,69.541,,0,0,0.7,10,0.538461538,13,1,0,0,1,9
FIG2B_EMX1_11,7.554679467,0.529473,0.552285,0.450686,0.549627,0.684067,0.572702,0.444562,0.490584,0.69432,0.734787,69.541,,0,0,0.727272727,11,0.538461538,13,1,0,0,1,10
FIG2B_EMX1_12,7.431194933,0.77475,0.460877,0.480978,0.394174,0.491345,0.624442,0.522124,0.404262,0.471489,0.659419,69.541,,0,0,0.666666667,12,0.538461538,13,1,0,0,1,11
